File Name,Revision,State (Historical),Created By (sys),Checked In,Comment
805025.ipt,01,Released Production,RK,2022-03-10 16:49,
805320.ipt,02,Released Production,HN,2019-02-03 14:36,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
805361.ipt,01,Released Production,HN,2019-02-03 14:39,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
805398.iam,01,Released Production,HN,2019-02-03 14:41,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
807022.iam,05,Released Production,HN,2019-02-03 15:07,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
807023.ipt,01,Released,Admin,2018-12-06 13:06,
807077.ipt,02,Released,Admin,2018-12-06 13:06,
807078.ipt,03,Released,Admin,2018-12-06 13:06,
807024.ipt,04,Released Production,HN,2019-02-03 15:07,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
807030.iam,01,Released Production,HN,2019-02-03 15:08,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
807031.ipt,01,Released Production,Jobuser,2019-03-12 12:06,Checked in by Naviate
807032.ipt,01,Released Production,Jobuser,2019-03-12 12:15,Checked in by Naviate
807033.ipt,00,Released Production,HN,2019-02-03 15:08,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
807034.ipt,01,Released Production,Jobuser,2019-04-09 10:19,Checked in by Naviate
807098.iam,01,Released Production,HN,2019-02-03 15:13,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
807099.ipt,01,Released Production,HN,2019-02-03 15:13,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
807188.ipt,01,Released Production,HN,2019-02-03 15:16,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
807189.ipt,01,Released Production,HN,2019-02-03 15:16,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
807172.iam,01,Released Production,HN,2019-02-03 15:16,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
807171.ipt,03,Released Production,HN,2019-02-03 15:15,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
807190.iam,00,Released Production,HN,2019-02-03 15:16,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
807183.ipt,02,Released Production,HN,2019-02-03 15:16,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
807193.ipt,01,Released,Migrering,2018-12-09 00:30,
807194.ipt,03,Released Production,HN,2019-02-03 15:17,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
807204.iam,01,Released Production,HN,2019-02-03 15:18,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
802809.ipt,03,Released Production,HN,2019-02-03 12:57,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
807267.ipt,01,Released Production,HN,2019-02-03 15:22,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
807268.ipt,02,Released Production,HN,2019-02-03 15:22,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
807272.ipt,01,Released Production,HN,2019-02-03 15:23,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
807278.ipt,01,Released Production,HN,2019-02-03 15:23,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
807456.iam,00,Released Production,HN,2019-02-03 15:30,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
807275.ipt,01,Released Production,HN,2019-02-03 15:23,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
807276.ipt,00,Released Production,HN,2019-02-03 15:23,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
807277.ipt,01,Released Production,HN,2019-02-03 15:23,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
807644.ipt,00,Released Production,HN,2019-02-03 15:46,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
807813.iam,07,Released Production,HN,2019-02-03 16:00,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
807255.ipt,04,Released Production,HN,2019-02-03 15:21,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
807489.ipt,01,Released Production,HN,2019-02-03 15:34,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
809100.ipt,02,Released Production,HN,2019-02-03 16:59,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
809151.iam,02,Released Production,SparePartUpdate,2023-11-15 09:32,Property Edit
808629.ipt,04,Released Production,HN,2022-02-17 12:17,
809045.ipt,00,Released Production,HN,2019-02-03 16:57,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
809046.ipt,02,Released Production,HN,2019-02-03 16:57,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
809152.ipt,00,Released Production,HN,2019-02-03 17:01,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
812625.iam,02,Released,Admin,2018-12-06 13:05,
812624.ipt,00,Released,Admin,2018-12-06 13:05,
812634.ipt,01,Released,Admin,2018-12-06 13:05,
812627.iam,03,Released Production,HN,2019-02-03 18:08,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
812626.ipt,00,Released Production,FF,2019-04-09 08:57,
812634.ipt,01,Released,Admin,2018-12-06 13:05,
807842.ipt,00,Released Production,HN,2019-02-03 16:01,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
807848.ipt,02,Released Production,TN,2019-07-15 13:32,
808315.iam,01,Released Production,HN,2019-02-03 16:20,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
808313.ipt,01,Released Production,HN,2019-02-03 16:20,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
808375.iam,01,Released Production,HN,2019-02-03 16:22,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
808383.ipt,00,Released Production,HN,2019-02-03 16:22,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
808384.ipt,00,Released Production,HN,2019-02-03 16:22,VaultFileStateChanger - Changed from state 'Released' to state 'Released Production'.
